,Exp,group,PID,phase,condition,block,trial,stimulus_left,stimulus_right,painting_left,painting_right,rating_left,rating_right,explain_trial,explain_response,novel_left,left_chosen,chosen_obj,unchosen_obj,rt,zscored_rt,delta_ratings,zcored_rating_left,zcored_rating_right,zscored_delta_ratings
0,Pilot,d10012021,arjeO,interference,1.0,1.0,0.0,32.0,22.0,Macka1.jpg,Macb1n.jpg,56.0,37.0,1.0,,0.0,1.0,32.0,22.0,2.145,2.3624116559354107,19.0,0.3693372122241616,-0.4594903900111616,0.8288276022353233
1,Pilot,d10012021,arjeO,interference,0.0,1.0,1.0,8.0,35.0,Klina1.jpg,Wdeka1.jpg,57.0,35.0,0.0,,,1.0,8.0,35.0,1.421,0.5204397489315877,22.0,0.4129597176049682,-0.5467354007727746,0.9596951183777428
2,Pilot,d10012021,arjeO,interference,0.0,1.0,2.0,16.0,12.0,Lewa1n.jpg,Kupkc1.jpg,37.0,65.0,0.0,,,0.0,12.0,16.0,1.108,-0.2758823600355345,-28.0,-0.4594903900111616,0.7619397606514201,-1.2214301506625818
3,Pilot,d10012021,arjeO,interference,1.0,1.0,3.0,52.0,41.0,Picaa1.jpg,Vincb1.jpg,67.0,46.0,1.0,,1.0,0.0,41.0,52.0,2.63,3.5963293008205683,21.0,0.8491847714130331,-0.0668878415839032,0.9160726129969362
4,Pilot,d10012021,arjeO,interference,0.0,1.0,4.0,45.0,40.0,Klia1n.jpg,Krab1n.jpg,45.0,29.0,0.0,,,0.0,40.0,45.0,1.827,1.5533687465055546,16.0,-0.1105103469647096,-0.8084704330576135,0.6979600860929038
5,Pilot,d10012021,arjeO,interference,1.0,1.0,5.0,36.0,50.0,Gorkf1.jpg,Gorke1.jpg,26.0,33.0,1.0,,0.0,1.0,36.0,50.0,1.553,0.8562688811477541,-7.0,-0.939337949200033,-0.6339804115343876,-0.3053575376656454
6,Pilot,d10012021,arjeO,interference,1.0,1.0,6.0,39.0,18.0,Dekb1n.jpg,Krasb1.jpg,63.0,57.0,1.0,,0.0,1.0,39.0,18.0,1.133,-0.2122783577218668,6.0,0.6746947498898072,0.4129597176049682,0.2617350322848389
7,Pilot,d10012021,arjeO,interference,1.0,1.0,7.0,56.0,13.0,Luisc1.jpg,Picak1.jpg,44.0,39.0,1.0,,0.0,1.0,56.0,13.0,1.483,0.6781776746694843,5.0,-0.1541328523455161,-0.3722453792495486,0.2181125269040324
8,Pilot,d10012021,arjeO,interference,1.0,1.0,8.0,37.0,47.0,Mondb1.jpg,Kupkd1.jpg,63.0,55.0,1.0,,1.0,0.0,47.0,37.0,1.678,1.1742888927160935,8.0,0.6746947498898072,0.3257147068433552,0.3489800430464519
9,Pilot,d10012021,arjeO,interference,0.0,1.0,9.0,14.0,48.0,Kupkb1.jpg,Picb1n.jpg,43.0,58.0,0.0,,,0.0,48.0,14.0,1.263,0.1184624543092061,-15.0,-0.1977553577263226,0.4565822229857746,-0.6543375807120974
10,Pilot,d10012021,arjeO,interference,0.0,1.0,10.0,21.0,49.0,Lewb1n.jpg,Hinda1.jpg,58.0,66.0,0.0,,,0.0,49.0,21.0,1.132,-0.2148225178144138,-8.0,0.4565822229857746,0.8055622660322266,-0.3489800430464519
11,Pilot,d10012021,arjeO,interference,1.0,1.0,11.0,10.0,4.0,Stera1.jpg,Mackb1.jpg,33.0,46.0,1.0,,1.0,0.0,4.0,10.0,1.176,-0.1028794737423581,-13.0,-0.6339804115343876,-0.0668878415839032,-0.5670925699504844
12,Pilot,d10012021,arjeO,interference,0.0,1.0,12.0,5.0,33.0,Kupb1n.jpg,Kupc1n.jpg,62.0,52.0,0.0,,,1.0,5.0,33.0,1.105,-0.283514840313175,10.0,0.6310722445090006,0.1948471907009357,0.4362250538080648
13,Pilot,d10012021,arjeO,interference,0.0,1.0,13.0,30.0,25.0,Lasse1.jpg,Clifa1.jpg,67.0,65.0,0.0,,,0.0,25.0,30.0,0.904,-0.794891018915065,2.0,0.8491847714130331,0.7619397606514201,0.0872450107616129
14,Pilot,d10012021,arjeO,interference,1.0,1.0,14.0,9.0,19.0,Lassc1.jpg,Macc1n.jpg,65.0,65.0,1.0,,1.0,0.0,19.0,9.0,1.006,-0.5353866894752999,0.0,0.7619397606514201,0.7619397606514201,0.0
15,Pilot,d10012021,arjeO,interference,0.0,1.0,15.0,7.0,57.0,Pica1n.jpg,Lewc1n.jpg,67.0,22.0,0.0,,,1.0,7.0,57.0,0.919,-0.7567286175268642,45.0,0.8491847714130331,-1.113827970723259,1.963012742136292
16,Pilot,d10012021,arjeO,interference,1.0,2.0,16.0,10.0,4.0,Stera1.jpg,Mackb1.jpg,33.0,46.0,0.0,,1.0,0.0,4.0,10.0,0.866,-0.8915691024318403,-13.0,-0.6339804115343876,-0.0668878415839032,-0.5670925699504844
17,Pilot,d10012021,arjeO,interference,1.0,2.0,17.0,39.0,18.0,Dekb1n.jpg,Krasb1.jpg,63.0,57.0,0.0,,0.0,1.0,39.0,18.0,0.85,-0.932275663912588,6.0,0.6746947498898072,0.4129597176049682,0.2617350322848389
18,Pilot,d10012021,arjeO,interference,0.0,2.0,18.0,5.0,33.0,Kupb1n.jpg,Kupc1n.jpg,62.0,52.0,1.0,,,1.0,5.0,33.0,1.078,-0.3522071628119361,10.0,0.6310722445090006,0.1948471907009357,0.4362250538080648
19,Pilot,d10012021,arjeO,interference,0.0,2.0,19.0,14.0,48.0,Kupkb1.jpg,Picb1n.jpg,43.0,58.0,1.0,,,0.0,48.0,14.0,1.428,0.5382488695794145,-15.0,-0.1977553577263226,0.4565822229857746,-0.6543375807120974
20,Pilot,d10012021,arjeO,interference,1.0,2.0,20.0,9.0,19.0,Lassc1.jpg,Macc1n.jpg,65.0,65.0,0.0,,1.0,0.0,19.0,9.0,1.052,-0.4183553252181508,0.0,0.7619397606514201,0.7619397606514201,0.0
21,Pilot,d10012021,arjeO,interference,1.0,2.0,21.0,36.0,50.0,Gorkf1.jpg,Gorke1.jpg,26.0,33.0,0.0,,0.0,1.0,36.0,50.0,1.187,-0.074893712724344,-7.0,-0.939337949200033,-0.6339804115343876,-0.3053575376656454
22,Pilot,d10012021,arjeO,interference,1.0,2.0,22.0,56.0,13.0,Luisc1.jpg,Picak1.jpg,44.0,39.0,0.0,,0.0,1.0,56.0,13.0,1.073,-0.36492796327467,5.0,-0.1541328523455161,-0.3722453792495486,0.2181125269040324
23,Pilot,d10012021,arjeO,interference,0.0,2.0,23.0,45.0,40.0,Klia1n.jpg,Krab1n.jpg,45.0,29.0,1.0,,,0.0,40.0,45.0,2.534,3.3520899319360837,16.0,-0.1105103469647096,-0.8084704330576135,0.6979600860929038
24,Pilot,d10012021,arjeO,interference,0.0,2.0,24.0,8.0,35.0,Klina1.jpg,Wdeka1.jpg,57.0,35.0,1.0,,,1.0,8.0,35.0,1.186,-0.077437872816891,22.0,0.4129597176049682,-0.5467354007727746,0.9596951183777428
25,Pilot,d10012021,arjeO,interference,0.0,2.0,25.0,16.0,12.0,Lewa1n.jpg,Kupkc1.jpg,37.0,65.0,1.0,,,0.0,12.0,16.0,1.044,-0.4387086059585245,-28.0,-0.4594903900111616,0.7619397606514201,-1.2214301506625818
26,Pilot,d10012021,arjeO,interference,1.0,2.0,26.0,37.0,47.0,Mondb1.jpg,Kupkd1.jpg,63.0,55.0,0.0,,1.0,0.0,47.0,37.0,1.148,-0.1741159563336663,8.0,0.6746947498898072,0.3257147068433552,0.3489800430464519
27,Pilot,d10012021,arjeO,interference,1.0,2.0,27.0,32.0,22.0,Macka1.jpg,Macb1n.jpg,56.0,37.0,0.0,,0.0,1.0,32.0,22.0,1.111,-0.2682498797578946,19.0,0.3693372122241616,-0.4594903900111616,0.8288276022353233
28,Pilot,d10012021,arjeO,interference,0.0,2.0,28.0,21.0,49.0,Lewb1n.jpg,Hinda1.jpg,58.0,66.0,1.0,,,0.0,49.0,21.0,0.977,-0.6091673321591548,-8.0,0.4565822229857746,0.8055622660322266,-0.3489800430464519
29,Pilot,d10012021,arjeO,interference,0.0,2.0,29.0,7.0,57.0,Pica1n.jpg,Lewc1n.jpg,67.0,22.0,1.0,,,1.0,7.0,57.0,0.964,-0.6422414133622621,45.0,0.8491847714130331,-1.113827970723259,1.963012742136292
