PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen,Exp
0WTOi,20,Artist,3,no,Left,4,Female,Yes,"not really, just picked the ones that made more profit in auctions",picked what i liked and what i thought had more depth,same as first,went with the one i liked more,Pilot
0fnsb,32,Novice,0,"No, nothing was unclear.",Right,4,Male,Yes,"No, I did not use any strategy other than memory.","No, I just picked the painting I liked better.","No, I did not use a strategy.","If I could remember the painting they were paired with, and was told the one I chose didn't make a profit, I assumed that the other part of the pair did make a profit.",Pilot
11A0U,23,Artist,8,"No, everything was pretty clear, I think.",Right,4,Male,Yes,"Yes. I tried to recall what paintings sold for red or green. I tried to prioritize paintings that earned me money, over paintings that didn't.","I kind of answered this in the previous question, but the strategy was to find out what elements of design and principles of art were used. So the strategy was to find out which painting exhibited these best.",I used the same exact strategy mentioned previously. Monitoring for design elements and art principles.,"Intuition. Same way I decided at the very beginning. I tried to roughly examine colors, techniques, media, style... contrast, harmony, unity, variety. Things like that helped me decide.",Pilot
1Gmaa,33,Enthusiast,1,No,Right,4,Female,Yes,Just trying to remember the combinations and which paintings were better or worse.,I just chose the ones I liked better.,"Nope, just chose the paintings I liked better.","I compared them to other pairs the paintings were in that I did know the outcome of.  For those pairs where both outcomes were unknown, I guessed.",Pilot
1XUTD,28,Enthusiast,1,no,Right,4,Male,Yes,no,no,no,which ones I remembered being together,Pilot
3KspW,33,Artist,10,Everything was clear. Thanks for the work. ,Right,4,Female,Yes,Not really anything specific. I chose the ones I likes the best and adjusting accordingly after I learned which ones were profitable. ,I simply chose bold striking paintings or ones that had some emotion or story potential to it. ,"Same as all the others, I just remembers the assigned values as best I could and took that information into account. ",I took the new painting into account and if I thought it was better I would replace my old choice with the new one. ,Pilot
5Mz5m,35,Novice,1,none,Right,4,Male,Yes,i went with my gut feeling.,no i used the same one,i went with my gut feeling.,i went with my gut instinct. i tried to see what would sell higher in my head.,Pilot
5bFRb,35,Enthusiast,2,no,Right,4,Female,Yes,I tried to focus on the ones that made the most during the auction which was a lot of the male portraits and the painting of woman in the long green dress.,In the beginning I tried to imagine which paintings people would actually buy and that I could imagine hanging up in their personal homes,I focused on the ones that did well in the first auction,"I focused on what I thought would do well at the auction, focused on the details on the faces and colors used",Pilot
628Km,31,Novice,0,"No, everything went fine.",Right,4,Male,Yes,I don't remember using any particular strategy other than going with the paintings I had decided were best.,"No, not really. I primarily chose the painting I liked the most.",I chose the painting I liked most. ,I decided on the one that was most preferable to me. ,Pilot
6kVoV,34,Novice,0,"Yes. Most of the instructions having to do with the auction didn't make much sense, I thought.",Right,4,Male,Yes,Not really. Paintings of white women seemed to have the most chance of being valuable.,No. Just picked the one I liked.,I can't remember which phase is meant by the question.,Chose paintings I thought were similar in their subjects to the ones that were shown as valuable.,Pilot
